               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,             0.02954,           0.0099106,            0.004563,             0.65189,             0.48389,             0.45564,             0.31538,            0.031185,           0.0084165,            0.048216,            0.006634,            0.006634,            0.006634
                  70,            0.029133,           0.0097796,           0.0047233,             0.68008,             0.46542,             0.45665,             0.31538,            0.031268,           0.0084709,            0.049237,           0.0065845,           0.0065845,           0.0065845
                  71,            0.029196,           0.0098575,           0.0046112,             0.67875,              0.4586,             0.45775,             0.31586,             0.03136,           0.0085034,            0.050202,            0.006535,            0.006535,            0.006535
                  72,            0.029266,           0.0098904,           0.0047289,             0.66913,             0.46402,             0.46065,             0.31746,            0.031379,           0.0084603,            0.050052,           0.0064855,           0.0064855,           0.0064855
                  73,            0.029058,           0.0098804,           0.0044021,             0.68514,              0.4611,             0.46252,             0.31977,            0.031393,           0.0084202,            0.050676,            0.006436,            0.006436,            0.006436
                  74,            0.029021,           0.0098193,           0.0045443,             0.66295,             0.46371,             0.46592,             0.32154,            0.031393,           0.0083676,            0.052008,           0.0063865,           0.0063865,           0.0063865
                  75,            0.028851,           0.0097399,           0.0041652,              0.6372,             0.48329,             0.46626,             0.32144,            0.031397,           0.0083891,            0.052538,            0.006337,            0.006337,            0.006337
                  76,            0.028914,           0.0096966,           0.0043484,             0.64063,             0.48267,              0.4628,             0.31859,            0.031382,           0.0083718,            0.053896,           0.0062875,           0.0062875,           0.0062875
                  77,            0.028787,           0.0097365,           0.0042748,             0.64447,             0.48717,             0.46154,             0.31765,            0.031367,           0.0084038,            0.053716,            0.006238,            0.006238,            0.006238
                  78,            0.028929,           0.0097556,           0.0041602,              0.5302,             0.48873,             0.46186,              0.3181,            0.031366,           0.0084473,            0.054182,           0.0061885,           0.0061885,           0.0061885
                  79,            0.028765,           0.0096971,           0.0040501,              0.5249,             0.48988,             0.46014,             0.31666,            0.031396,           0.0085212,            0.054338,            0.006139,            0.006139,            0.006139
                  80,            0.028868,           0.0097773,           0.0042772,             0.52386,             0.48745,             0.46137,             0.31777,            0.031426,            0.008533,            0.053895,           0.0060895,           0.0060895,           0.0060895
                  81,            0.028802,           0.0096705,           0.0042607,             0.52242,             0.48933,             0.46014,             0.31677,            0.031427,           0.0085751,            0.053467,             0.00604,             0.00604,             0.00604
                  82,            0.028604,           0.0097986,           0.0040065,             0.51204,             0.49256,             0.45967,             0.31703,            0.031435,           0.0086199,            0.052835,           0.0059905,           0.0059905,           0.0059905
                  83,             0.02861,           0.0095462,           0.0040789,             0.51028,             0.49755,             0.46023,             0.31636,            0.031443,            0.008644,            0.052038,            0.005941,            0.005941,            0.005941
                  84,            0.028537,           0.0097168,           0.0040629,              0.5131,             0.49657,             0.46104,             0.31637,             0.03143,           0.0086934,             0.05132,           0.0058915,           0.0058915,           0.0058915
                  85,            0.028505,           0.0096383,           0.0041827,              0.5179,             0.49321,             0.46202,             0.31727,            0.031398,           0.0087142,            0.051176,            0.005842,            0.005842,            0.005842
                  86,            0.028225,           0.0096419,           0.0039245,             0.51554,             0.49103,             0.46122,             0.31704,            0.031329,           0.0087405,            0.051517,           0.0057925,           0.0057925,           0.0057925
                  87,            0.028363,            0.009521,           0.0038155,             0.53441,             0.48318,             0.46065,             0.31674,            0.031295,           0.0087448,            0.051351,            0.005743,            0.005743,            0.005743
                  88,            0.028347,           0.0096412,            0.003689,             0.53313,              0.4834,             0.45907,             0.31517,            0.031287,           0.0087748,            0.050979,           0.0056935,           0.0056935,           0.0056935
                  89,            0.028032,           0.0094275,           0.0037317,             0.52875,             0.48768,              0.4592,             0.31491,            0.031296,           0.0087871,            0.050847,            0.005644,            0.005644,            0.005644
                  90,            0.028249,           0.0094765,           0.0037496,             0.52288,             0.49329,             0.45927,             0.31521,            0.031304,           0.0087863,            0.050943,           0.0055945,           0.0055945,           0.0055945
                  91,            0.028167,           0.0095206,           0.0039399,             0.52498,             0.49298,             0.45772,             0.31395,            0.031295,           0.0088087,            0.051285,            0.005545,            0.005545,            0.005545
                  92,             0.02823,           0.0094763,           0.0038543,              0.5101,             0.49736,             0.45727,             0.31368,            0.031276,           0.0088221,            0.051293,           0.0054955,           0.0054955,           0.0054955
                  93,            0.028189,           0.0095028,           0.0037534,             0.56482,             0.45301,             0.45758,             0.31452,            0.031257,           0.0088575,            0.051279,            0.005446,            0.005446,            0.005446
                  94,            0.028128,           0.0094904,           0.0039112,             0.50042,             0.50267,             0.45896,             0.31588,            0.031242,           0.0088368,            0.051127,           0.0053965,           0.0053965,           0.0053965
                  95,            0.028175,           0.0094307,           0.0036616,              0.5003,             0.50305,             0.45932,             0.31592,            0.031219,           0.0088541,            0.051056,            0.005347,            0.005347,            0.005347
                  96,            0.027774,           0.0093566,           0.0035409,             0.57302,             0.45231,             0.45884,             0.31524,            0.031236,           0.0088613,            0.051278,           0.0052975,           0.0052975,           0.0052975
                  97,            0.027772,           0.0093386,           0.0035477,             0.57323,             0.45682,             0.45922,             0.31512,            0.031228,           0.0088512,             0.05134,            0.005248,            0.005248,            0.005248
                  98,            0.027815,           0.0093947,           0.0037762,             0.51426,             0.50142,             0.45973,             0.31575,             0.03123,           0.0088413,            0.051305,           0.0051985,           0.0051985,           0.0051985
                  99,            0.027868,           0.0092824,           0.0036145,             0.51206,             0.50085,              0.4597,             0.31562,            0.031235,           0.0088352,            0.051502,            0.005149,            0.005149,            0.005149
                 100,            0.027932,           0.0094507,           0.0038598,             0.51252,              0.4954,             0.45929,             0.31563,            0.031235,           0.0088372,            0.051878,           0.0050995,           0.0050995,           0.0050995
                 101,            0.027555,           0.0092685,           0.0035694,              0.5755,             0.46136,             0.45956,             0.31503,            0.031243,           0.0088212,            0.052019,             0.00505,             0.00505,             0.00505
                 102,            0.027674,            0.009414,           0.0036099,             0.57517,             0.46003,              0.4585,              0.3143,            0.031253,           0.0088192,            0.052385,           0.0050005,           0.0050005,           0.0050005
                 103,             0.02749,           0.0092799,           0.0032722,              0.5287,             0.48492,             0.45928,             0.31421,            0.031266,           0.0088264,            0.052403,            0.004951,            0.004951,            0.004951
                 104,             0.02767,           0.0093627,           0.0035457,              0.5225,             0.49073,             0.45898,             0.31442,            0.031272,           0.0088373,            0.052412,           0.0049015,           0.0049015,           0.0049015
                 105,            0.027382,           0.0092968,           0.0035648,             0.55845,             0.47098,             0.45886,             0.31435,            0.031288,           0.0088468,            0.052432,            0.004852,            0.004852,            0.004852
                 106,            0.027239,           0.0092337,           0.0032039,             0.52351,             0.49064,             0.45939,             0.31448,            0.031302,           0.0088501,            0.052686,           0.0048025,           0.0048025,           0.0048025
                 107,            0.027538,           0.0093812,           0.0036732,             0.52504,             0.49182,             0.45945,             0.31441,            0.031305,           0.0088483,             0.05262,            0.004753,            0.004753,            0.004753
                 108,             0.02732,           0.0092378,           0.0035283,             0.52464,             0.49615,             0.45938,             0.31397,            0.031309,           0.0088457,            0.052697,           0.0047035,           0.0047035,           0.0047035
                 109,            0.027233,           0.0092405,           0.0031693,             0.52836,             0.49261,             0.46025,             0.31508,            0.031326,           0.0088434,            0.052792,            0.004654,            0.004654,            0.004654
                 110,            0.027188,           0.0092834,           0.0034474,             0.52612,             0.49879,             0.45994,             0.31457,             0.03135,            0.008843,            0.052932,           0.0046045,           0.0046045,           0.0046045
                 111,            0.027236,           0.0092249,           0.0031881,             0.52715,             0.49818,             0.45957,             0.31505,            0.031356,           0.0088533,            0.053117,            0.004555,            0.004555,            0.004555
                 112,            0.026916,           0.0091165,           0.0033368,             0.52734,             0.49695,             0.45924,             0.31422,            0.031359,           0.0088657,            0.053315,           0.0045055,           0.0045055,           0.0045055
                 113,            0.027034,           0.0091749,             0.00314,              0.5271,             0.49325,             0.45912,             0.31436,            0.031373,           0.0088905,            0.053492,            0.004456,            0.004456,            0.004456
                 114,             0.02703,            0.009124,           0.0030995,             0.52637,             0.49449,             0.45908,              0.3136,            0.031383,           0.0089132,            0.053671,           0.0044065,           0.0044065,           0.0044065
                 115,            0.027094,           0.0091866,           0.0035547,             0.52382,             0.49025,             0.45912,             0.31363,            0.031389,           0.0089241,            0.053762,            0.004357,            0.004357,            0.004357
                 116,             0.02692,            0.009183,           0.0032418,             0.52017,             0.49162,             0.45901,              0.3126,            0.031402,           0.0089457,            0.053895,           0.0043075,           0.0043075,           0.0043075
                 117,            0.026927,           0.0091651,           0.0032343,             0.52249,             0.49066,             0.45839,             0.31179,            0.031411,           0.0089595,            0.054111,            0.004258,            0.004258,            0.004258
                 118,             0.02673,           0.0091438,            0.003017,             0.54578,             0.47712,             0.45771,             0.31095,            0.031449,           0.0089766,            0.054344,           0.0042085,           0.0042085,           0.0042085
                 119,            0.026636,           0.0090824,           0.0032343,             0.53325,              0.4788,             0.45706,             0.31046,            0.031475,           0.0089977,            0.054434,            0.004159,            0.004159,            0.004159
                 120,            0.026623,           0.0090269,           0.0032442,             0.53946,             0.47755,             0.45707,             0.31056,            0.031497,           0.0090068,            0.054555,           0.0041095,           0.0041095,           0.0041095
                 121,            0.026753,           0.0090875,           0.0030825,             0.53925,             0.47727,             0.45756,             0.31102,            0.031518,           0.0090095,            0.054558,             0.00406,             0.00406,             0.00406
                 122,            0.026485,           0.0091412,           0.0028485,             0.54592,             0.47459,             0.45774,             0.31089,            0.031533,           0.0090151,            0.054484,           0.0040105,           0.0040105,           0.0040105
                 123,            0.026361,           0.0089345,           0.0030357,             0.55711,             0.47047,             0.45757,             0.31118,            0.031547,           0.0090249,            0.054622,            0.003961,            0.003961,            0.003961
                 124,            0.026409,           0.0090407,           0.0029969,             0.56712,             0.46039,             0.45764,             0.31106,            0.031563,            0.009035,            0.054877,           0.0039115,           0.0039115,           0.0039115
                 125,            0.026434,            0.009071,           0.0029376,              0.5675,             0.46135,             0.45795,             0.31127,             0.03159,           0.0090366,            0.055035,            0.003862,            0.003862,            0.003862
                 126,            0.026289,           0.0090493,            0.003007,             0.57425,             0.45869,             0.45683,             0.31009,            0.031615,           0.0090425,            0.055233,           0.0038125,           0.0038125,           0.0038125
                 127,            0.026196,           0.0090135,            0.002894,             0.57177,             0.45895,             0.45647,             0.31029,            0.031636,           0.0090723,            0.055345,            0.003763,            0.003763,            0.003763
                 128,            0.026131,           0.0089564,           0.0028405,             0.57098,             0.46186,             0.45532,             0.30891,            0.031655,           0.0090957,            0.055379,           0.0037135,           0.0037135,           0.0037135
